game_id,name,game_slug,price,release_date,platform,description,developer,publisher,genres,Average hours played
530,Ashwalkers,ashwalkers,11.99,2021-04-15T15:00:00.000Z,Windows,"A survival journey through a harsh world without rules or judgement. Only your choices matters in the face of moral dilemmas. Manage your party, food & equipment in this non-linear narrative survival sim with 34 possible endings.",Nameless XIII,Dear Villagers,"ADVENTURE,INDIE,SURVIVAL",7966.76
531,OUTRIDERS,outriders,39.99,2021-04-15T16:00:00.000Z,Windows,"OUTRIDERS is a 1-3 player co-op RPG shooter set in an original, dark and desperate sci-fi universe.  As mankind bleeds out in the trenches of Enoch, you’ll create your own Outrider and embark on a journey across the hostile planet.",People Can Fly,Square Enix,"ACTION,SHOOTER,ADVENTURE",55173.67
532,Shadow Man Remastered,shadow-man-remastered,19.99,2021-04-15T17:00:00.000Z,Windows,"He's coming, stalking criminals in the spirit world & the real world. A possessed man is coming, a voodoo mask in his chest and lines of power in his back. Shadow Man is coming, trailing evil from Liveside to Deadside. To stop an apocalypse. To save your soul.","Nightdive Studios, Acclaim Studios Teesside",Nightdive Studios,"ACTION,ADVENTURE,HORROR",48777.69
533,Hitchhiker - A Mystery Game,hitchhiker-a-mystery-game,14.99,2021-04-15T17:00:00.000Z,Windows,"Hitchhiker is a mystery game set along lost highways, where your goal is to solve the puzzle of your own backstory. Clues appear, alliances emerge, and nothing is quite what it seems.",Mad About Pandas,Versus Evil,"SINGLE_PLAYER,ADVENTURE,CASUAL",32818.57
534,Secret Government,secret-government,24.99,2021-04-15T17:00:00.000Z,"Windows,Mac","Secret Government is a grand strategy game where you become the leader of secret society that has ruled humankind from the shadows for centuries. Pull the strings of fate and spread your influence across the globe, shaping the world's future to your will!",GameTrek,1C Entertainment,"STRATEGY,INDIE,SINGLE_PLAYER",24822.15
535,The Legend of Heroes: Trails of Cold Steel III,the-legend-of-heroes-trails-of-cold-steel-iii,59.99,2021-04-16T17:00:00.000Z,Windows,"Experience an epic story developed across three titles, and crafted for new and old fans alike. Also includes an interactive introduction to catch up new players to the ongoing story so anyone can dive right in to the world of Trails of Cold Steel.",Nihon Falcom,"NIS America, Inc.","RPG,SINGLE_PLAYER",31924.93
536,Spelldrifter,spelldrifter,19.99,2021-04-19T17:00:00.000Z,Windows,"Spelldrifter combines the puzzle-like positional tactics of a turn-based RPG with the customizability and replayability of a collectible card game.  The result: a hybrid, wherein players must juggle the resources at their disposal using both time and space.",Free Range Games,Free Range Games,"CCG,RPG,TURN_BASED",48452.49
537,KenShape,kenshape,3.99,2021-04-22T13:45:00.000Z,Windows,"KenShape generates 3D models based on 2D pixel art drawn using various shapes. Exported models are compatible with most game engines and will allow anyone with basic drawing skills to generate high quality 3D models for their games, or other projects.",Kenney,Kenney,,20699.25
538,"iHeart: Radio, Music, Podcast‪s‬",iheart,0.00,2021-04-22T13:45:00.000Z,Windows,"Listen to thousands of live radio stations, tune in to podcasts and stream unlimited music playlists for any mood or activity, all in one app. The iHeartRadio app is easy to use and best of all, it's FREE.",iHeartMedia,iHeartMedia,,4135.91
539,Itch.io,itch-io,0.00,2021-04-22T13:45:00.000Z,Windows,"The itch.io app, itch, lets you effortlessly download and run games and software from itch.io. All of your downloads are kept in a single place and are automatically updated. Access your collections and purchases, or browse for new games via the in-app browser",itch.io,itch.io,,43400.60
540,Krita,krita,9.99,2021-04-22T13:45:00.000Z,"Windows,Mac","Krita is an open source desktop painting application designed for illustrators, concept artists, illustrators, comic book creators, matte painters, texture artists and animators.",Krita Team,Krita Project,INDIE,29837.33
541,Brave,brave,0.00,2021-04-22T13:45:00.000Z,Windows,"Experience a blazing fast web with unparalleled privacy for all your gaming needs. Brave strips away creepy ads & trackers that bog down performance. The result? A 3x faster browser, saving you hours of precious battery life. Join the 29M+ already using Brave!","Brave Software, Inc.","Brave Software, Inc.",,5425.40
542,Hand of Fate 2,hand-of-fate-2,29.99,2021-04-22T15:00:00.000Z,"Windows,Mac","A new hero rises to challenge the Dealer in Hand of Fate 2! Master a living boardgame of infinitely replayable quests - unlock new cards, build your adventure, then defeat your foes in brutal real-time combat!",Defiant Development,Defiant Development,"DUNGEON_CRAWLER,ROGUE_LIKE,ACTION",6301.81
543,MotoGP™21,motogp-21,39.99,2021-04-22T15:00:00.000Z,Windows,Take your place on the starting grid and get ready for the most realistic and immersive MotoGP™ videogame ever. Live the most authentic 2-wheels racing experience with the new MotoGP™21!,Milestone S.r.l.,Milestone S.r.l.,"RACING,SPORTS,SIMULATION",17323.79
544,The Signifier: Director's Cut,the-signifier-directors-cut,21.99,2021-04-22T15:00:00.000Z,windows,The Signifier: Director’s Cut is the full vision for the single-player mind-bending tech-noir mystery with choice-driven outcomes that takes investigation into the objective and subjective memories of the victim through a machine called the Dreamwalker.,Playmestudio,Raw Fury,"ADVENTURE,INDIE,INVESTIGATION",29297.11
545,Panzer Corps 2,panzer-corps-2,39.99,2021-04-27T14:00:00.000Z,Windows,"Panzer Corps 2 is the ultimate Second World War strategy game. Enjoy the time-proven gameplay formula which has been appreciated by millions of players over the years, brought to a whole new level of refinement up to the latest technical standards.",Flashback Games,Slitherine Ltd.,"STRATEGY,TURN_BASED",8485.08
546,A Good Snowman is Hard to Build,a-good-snowman-is-hard-to-build,9.99,2021-04-27T14:00:00.000Z,"Windows,Mac","A Good Snowman Is Hard To Build is an adorable puzzle game about being a monster and making snowmen.  Featuring lovingly-crafted puzzle design from Alan Hazelden, one of the creators of Sokobond, Cosmic Express, and A Monster's Expedition!",,,"PUZZLE,INDIE,CASUAL",23404.80
547,Cosmic Express,cosmic-express,9.99,2021-04-27T14:00:00.000Z,"Windows,Mac","Cosmic Express is a puzzle game about planning the train route for the world's most awkward space colony, from the minds behind A Good Snowman Is Hard To Build and the art of Tyu from Klondike.",,,"PUZZLE,INDIE,SINGLE_PLAYER",8138.55
548,A Monster's Expedition,a-monsters-expedition,19.99,2021-04-27T14:00:00.000Z,"Windows,Mac","From some of the best puzzle designers in the world comes A Monster's Expedition, an adorable and relaxing open world puzzle adventure for monsters who love to learn about humans.",,,"INDIE,PUZZLE,ADVENTURE",50257.47
549,Sokobond,sokobond,9.99,2021-04-27T14:00:00.000Z,"Windows,Mac","Sokobond is an elegantly designed puzzle game about chemistry. It's logical, minimalist, and beautiful - crafted with love and science by a team of expert puzzle designers.",,,"INDIE,PUZZLE,CASUAL",39035.88
550,Lumberjack's Dynasty,lumberjacks-dynasty,19.99,2021-04-29T10:00:00.000Z,Windows,A unique first-person life simulation where you are a lumberjack building up a business and founding a lasting dynasty for generations to come.,UMEO Studios,Toplitz Productions,"ADVENTURE,RPG,SIMULATION",30638.98
551,The Uncertain: Last Quiet Day,the-uncertain-last-quiet-day,9.99,2021-04-29T14:00:00.000Z,"Windows, Mac","The Uncertain: Last Quiet Day is an story-driven adventure game set in a post-apocalyptic world. You see it from the perspective of an engineering robot RT-217NP, who seems to be very curious about the human race, long extinct in wasting wars.",New Games Order,META Publishing,"ADVENTURE,FIRST_PERSON,INVESTIGATION",37474.15
552,Legend of Keepers,legend-of-keepers,19.99,2021-04-29T17:00:00.000Z,"Windows,Mac",Legend of Keepers is the perfect mix between Dungeon Management and Roguelite. You have been hired as a dungeon master by the Dungeons Company. Your job is simple: protect their dungeons!,Goblinz Studio,Goblinz Publishing,"INDIE,RPG,STRATEGY",27608.95
553,R-Type Final 2,r-type-final-2,39.99,2021-04-30T17:00:00.000Z,Windows,"The legendary side-scroller is back and with beautifully rendered 3D graphics, exhilarating shoot-'em-up gameplay, and a multitude of stages, ships, and weapons that will allow you to conduct a symphony of destruction upon your foes.",Granzella Inc.,"NIS America, Inc.","ARCADE,SINGLE_PLAYER,SHOOTER",18023.39
554,Scavengers,scavengers,0.00,2021-05-01T16:00:00.000Z,Windows,"Prepare for the unforgiving frozen wasteland of Scavengers, a free-to-play strategic shooter where players form squads of three and fight for survival and resource dominance in a challenging hybrid of sandbox-style PVE and class-based PVP.",Midwinter Entertainment,Improbable Worlds Limited,"COMPETITIVE,MULTIPLAYER,SHOOTER",14996.85
555,Skate City,skate-city,14.99,2021-05-06T15:00:00.000Z,Windows,"Skate City captures the heart and soul of street skating in an authentic light. Explore three cities based off of real-world locations including Los Angeles, Oslo, and Barcelona. Ride like a local in Challenge mode or take it at your own pace in Endless Skate.",Agens,Snowman,"ACTION,INDIE,SPORTS",26960.99
556,Pine,pine,24.99,2021-05-06T15:00:00.000Z,Windows,An open-world action adventure game set in a simulated world in which humans never reached the top of the food chain. Fight with or against a variety of species as you make your way to a new home for your human tribe.,Twirlbound,Kongregate,"ACTION,ADVENTURE,OPEN_WORLD",14922.53
